x0,x1,x2,mean,std,min,max,count
-800.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-799.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-799.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-798.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-798.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-797.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-797.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-796.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-796.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-795.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-795.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-794.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-794.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-793.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-793.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-792.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-792.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-791.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-791.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-790.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-790.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-789.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-789.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-788.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-788.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-787.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-787.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-786.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-786.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-785.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-785.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-784.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-784.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-783.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-783.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-782.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-782.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-781.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-781.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-780.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-780.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-779.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-779.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-778.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-778.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-777.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-777.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-776.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-776.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-775.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-775.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-774.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-774.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-773.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-773.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-772.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-772.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-771.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-771.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-770.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-770.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-769.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-769.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-768.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-768.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-767.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-767.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-766.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-766.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-765.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-765.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-764.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-764.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-763.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-763.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-762.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-762.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-761.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-761.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-760.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-760.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-759.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-759.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-758.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-758.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-757.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-757.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-756.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-756.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-755.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-755.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-754.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-754.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-753.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-753.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-752.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-752.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-751.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-751.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-750.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-750.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-749.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-749.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-748.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-748.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-747.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-747.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-746.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-746.0,0.0,0.0,0.0,0.0,0.0,0.0,20
-745.5,0.0,0.0,0.0,0.0,0.0,0.0,20
-745.0,0.0,0.0,0.0,0.0,0.0,5e-324,20
-744.5,0.0,0.0,0.0,0.0,0.0,5e-324,20
-744.0,0.0,0.0,5e-324,0.0,5e-324,5e-324,20
-743.5,0.0,0.0,1e-323,0.0,5e-324,1e-323,20
-743.0,0.0,0.0,1e-323,0.0,1e-323,1e-323,20
-742.5,0.0,0.0,2e-323,0.0,1.5e-323,2e-323,20
-742.0,0.0,0.0,3e-323,0.0,2.5e-323,3e-323,20
-741.5,0.0,0.0,5e-323,0.0,4.4e-323,5e-323,20
-741.0,0.0,0.0,7.4e-323,0.0,7.4e-323,8e-323,20
-740.5,0.0,0.0,1.24e-322,0.0,1.24e-322,1.3e-322,20
-740.0,0.0,0.0,2.08e-322,0.0,2.08e-322,2.1e-322,20
-739.5,0.0,0.0,3.46e-322,0.0,3.46e-322,3.46e-322,20
-739.0,0.0,0.0,5.7e-322,0.0,5.7e-322,5.7e-322,20
-738.5,0.0,0.0,9.4e-322,0.0,9.4e-322,9.4e-322,20
-738.0,0.0,0.0,1.546e-321,0.0,1.546e-321,1.546e-321,20
-737.5,0.0,0.0,2.554e-321,0.0,2.55e-321,2.554e-321,20
-737.0,0.0,0.0,4.21e-321,0.0,4.204e-321,4.21e-321,20
-736.5,0.0,0.0,6.937e-321,0.0,6.937e-321,6.937e-321,20
-736.0,0.0,0.0,1.1433e-320,0.0,1.1433e-320,1.144e-320,20
-735.5,0.0,0.0,1.8854e-320,0.0,1.8854e-320,1.8854e-320,20
-735.0,0.0,0.0,3.1087e-320,0.0,3.108e-320,3.1087e-320,20
-734.5,0.0,0.0,5.1244e-320,0.0,5.1244e-320,5.125e-320,20
-734.0,0.0,0.0,8.4495e-320,0.0,8.449e-320,8.4495e-320,20
-733.5,0.0,0.0,1.39307e-319,0.0,1.393e-319,1.39307e-319,20
-733.0,0.0,0.0,2.29676e-319,0.0,2.29676e-319,2.29676e-319,20
-732.5,0.0,0.0,3.7867e-319,0.0,3.7867e-319,3.7867e-319,20
-732.0,0.0,0.0,6.24326e-319,0.0,6.2432e-319,6.24326e-319,20
-731.5,0.0,0.0,1.029336e-318,0.0,1.02933e-318,1.02934e-318,20
-731.0,0.0,0.0,1.69709e-318,0.0,1.69709e-318,1.69709e-318,20
-730.5,0.0,0.0,2.79802e-318,0.0,2.79802e-318,2.79802e-318,20
-730.0,0.0,0.0,4.61316e-318,0.0,4.61316e-318,4.61316e-318,20
-729.5,0.0,0.0,7.60581e-318,0.0,7.60581e-318,7.60581e-318,20
-729.0,0.0,0.0,1.25399e-317,0.0,1.25399e-317,1.25399e-317,20
-728.5,0.0,0.0,2.06747e-317,0.0,2.06747e-317,2.06747e-317,20
-728.0,0.0,0.0,3.40869e-317,0.0,3.40869e-317,3.40869e-317,20
-727.5,0.0,0.0,5.61998e-317,0.0,5.61998e-317,5.61998e-317,20
-727.0,0.0,0.0,9.26577e-317,0.0,9.26577e-317,9.26577e-317,20
-726.5,0.0,0.0,1.52767e-316,0.0,1.52767e-316,1.52767e-316,20
-726.0,0.0,0.0,2.5187e-316,0.0,2.5187e-316,2.5187e-316,20
-725.5,0.0,0.0,4.15263e-316,0.0,4.15263e-316,4.15263e-316,20
-725.0,0.0,0.0,6.84653e-316,0.0,6.84653e-316,6.84653e-316,20
-724.5,0.0,0.0,1.1288e-315,0.0,1.1288e-315,1.1288e-315,20
-724.0,0.0,0.0,1.86108e-315,0.0,1.86108e-315,1.86108e-315,20
-723.5,0.0,0.0,3.0684e-315,0.0,3.0684e-315,3.0684e-315,20
-723.0,0.0,0.0,5.05894e-315,0.0,5.05894e-315,5.05894e-315,20
-722.5,0.0,0.0,8.34078e-315,0.0,8.34078e-315,8.34078e-315,20
-722.0,0.0,0.0,1.37516e-314,0.0,1.37516e-314,1.37516e-314,20
-721.5,0.0,0.0,2.26726e-314,0.0,2.26726e-314,2.26726e-314,20
-721.0,0.0,0.0,3.73808e-314,0.0,3.73808e-314,3.73808e-314,20
-720.5,0.0,0.0,6.16305e-314,0.0,6.16305e-314,6.16305e-314,20
-720.0,0.0,0.0,1.01612e-313,0.0,1.01612e-313,1.01612e-313,20
-719.5,0.0,0.0,1.67529e-313,0.0,1.67529e-313,1.67529e-313,20
-719.0,0.0,0.0,2.76209e-313,0.0,2.76209e-313,2.76209e-313,20
-718.5,0.0,0.0,4.55391e-313,0.0,4.55391e-313,4.55391e-313,20
-718.0,0.0,0.0,7.50813e-313,0.0,7.50813e-313,7.50813e-313,20
-717.5,0.0,0.0,1.23788e-312,0.0,1.23788e-312,1.23788e-312,20
-717.0,0.0,0.0,2.04092e-312,0.0,2.04092e-312,2.04092e-312,20
-716.5,0.0,0.0,3.36491e-312,0.0,3.36491e-312,3.36491e-312,20
-716.0,0.0,0.0,5.5478e-312,0.0,5.5478e-312,5.5478e-312,20
-715.5,0.0,0.0,9.14678e-312,0.0,9.14678e-312,9.14678e-312,20
-715.0,0.0,0.0,1.50805e-311,0.0,1.50805e-311,1.50805e-311,20
-714.5,0.0,0.0,2.48635e-311,0.0,2.48635e-311,2.48635e-311,20
-714.0,0.0,0.0,4.0993e-311,0.0,4.0993e-311,4.0993e-311,20
-713.5,0.0,0.0,6.75861e-311,0.0,6.75861e-311,6.75861e-311,20
-713.0,0.0,0.0,1.11431e-310,0.0,1.11431e-310,1.11431e-310,20
-712.5,0.0,0.0,1.83718e-310,0.0,1.83718e-310,1.83718e-310,20
-712.0,0.0,0.0,3.029e-310,0.0,3.029e-310,3.029e-310,20
-711.5,0.0,0.0,4.99397e-310,0.0,4.99397e-310,4.99397e-310,20
-711.0,0.0,0.0,8.23367e-310,0.0,8.23367e-310,8.23367e-310,20
-710.5,0.0,0.0,1.3575e-309,0.0,1.3575e-309,1.3575e-309,20
-710.0,0.0,0.0,2.23814e-309,0.0,2.23814e-309,2.23814e-309,20
-709.5,0.0,0.0,3.69007e-309,0.0,3.69007e-309,3.69007e-309,20
-709.0,0.0,0.0,6.0839e-309,0.0,6.0839e-309,6.0839e-309,20
-708.5,0.0,0.0,1.00307e-308,0.0,1.00307e-308,1.00307e-308,20
-708.0,0.0,0.0,1.65378e-308,0.0,1.65378e-308,1.65378e-308,20
-707.5,0.0,0.0,2.72662e-308,0.0,2.72662e-308,2.72662e-308,20
-707.0,0.0,0.0,4.49543e-308,0.0,4.49543e-308,4.49543e-308,20
-706.5,0.0,0.0,7.411709999999999e-308,0.0,7.41171e-308,7.41171e-308,20
-706.0,0.0,0.0,1.2219799999999999e-307,0.0,1.22198e-307,1.22198e-307,20
-705.5,0.0,0.0,2.01471e-307,0.0,2.01471e-307,2.01471e-307,20
-705.0,0.0,0.0,3.3216999999999996e-307,0.0,3.3217e-307,3.3217e-307,20
-704.5,0.0,0.0,5.47656e-307,0.0,5.47656e-307,5.47656e-307,20
-704.0,0.0,0.0,9.02931e-307,0.0,9.02931e-307,9.02931e-307,20
-703.5,0.0,0.0,1.4886800000000003e-306,0.0,1.48868e-306,1.48868e-306,20
-703.0,0.0,0.0,2.4544200000000004e-306,0.0,2.45442e-306,2.45442e-306,20
-702.5,0.0,0.0,4.046659999999999e-306,0.0,4.04666e-306,4.04666e-306,20
-702.0,0.0,0.0,6.67181e-306,0.0,6.67181e-306,6.67181e-306,20
-701.5,0.0,0.0,1.0999999999999999e-305,0.0,1.1e-305,1.1e-305,20
-701.0,0.0,0.0,1.81359e-305,0.0,1.81359e-305,1.81359e-305,20
-700.5,0.0,0.0,2.9901e-305,0.0,2.9901e-305,2.9901e-305,20
-700.0,0.0,0.0,4.929839999999998e-305,0.0,4.92984e-305,4.92984e-305,20
